Date,HGZ2 Comdty - LMCADS03 Comdty
10/01/2019,1.9711
11/01/2019,3.9768
14/01/2019,3.268
15/01/2019,0.9247
16/01/2019,1.5068
17/01/2019,1.9589
18/01/2019,2.1873
21/01/2019,5.4078
22/01/2019,3.1443
23/01/2019,2.3959
24/01/2019,2.734
25/01/2019,3.7059
28/01/2019,1.9553
29/01/2019,3.978
30/01/2019,4.0272
31/01/2019,3.9803
01/02/2019,4.3411
04/02/2019,4.6757
05/02/2019,3.9274
06/02/2019,3.1908
07/02/2019,4.6877
08/02/2019,4.8206
11/02/2019,4.6421
12/02/2019,4.8379
13/02/2019,3.6261
14/02/2019,3.8318
15/02/2019,3.8185
18/02/2019,-0.1277
19/02/2019,4.5765
20/02/2019,4.0756
21/02/2019,4.0096
22/02/2019,3.6644
25/02/2019,3.6237
26/02/2019,3.784
27/02/2019,4.4217
28/02/2019,3.2083
01/03/2019,2.9144
04/03/2019,4.0942
05/03/2019,3.1144
06/03/2019,2.568
07/03/2019,4.0365
08/03/2019,3.2792
11/03/2019,3.2849
12/03/2019,3.0866
13/03/2019,3.6139
14/03/2019,2.671
15/03/2019,3.4963
18/03/2019,4.1684
19/03/2019,4.0262
20/03/2019,4.4169
21/03/2019,4.6499
22/03/2019,3.744
25/03/2019,3.8739
26/03/2019,3.3275
27/03/2019,4.0007
28/03/2019,3.8168
29/03/2019,4.1103
01/04/2019,3.7319
02/04/2019,4.4504
03/04/2019,5.3294
04/04/2019,3.6891
05/04/2019,4.857
08/04/2019,5.7005
09/04/2019,5.8062
10/04/2019,6.6494
11/04/2019,5.5395
12/04/2019,7.0922
15/04/2019,6.8737
16/04/2019,5.7933
17/04/2019,5.9264
18/04/2019,5.1551
22/04/2019,3.5051
23/04/2019,6.0849
24/04/2019,5.5252
25/04/2019,4.84
26/04/2019,6.1024
29/04/2019,7.0338
30/04/2019,6.922
01/05/2019,5.6866
02/05/2019,5.921
03/05/2019,6.2913
06/05/2019,8.0413
07/05/2019,6.3814
08/05/2019,5.9829
09/05/2019,7.3194
10/05/2019,6.5808
13/05/2019,6.4471
14/05/2019,6.3713
15/05/2019,4.5405
16/05/2019,4.8601
17/05/2019,6.0059
20/05/2019,5.7806
21/05/2019,6.8774
22/05/2019,7.0618
23/05/2019,6.9526
24/05/2019,7.2872
28/05/2019,6.5104
29/05/2019,7.503
30/05/2019,7.6091
31/05/2019,6.357
03/06/2019,7.2127
04/06/2019,7.4344
05/06/2019,6.1503
06/06/2019,8.6549
07/06/2019,6.5132
10/06/2019,6.4112
11/06/2019,7.6705
12/06/2019,7.0591
13/06/2019,6.787
14/06/2019,5.3699
17/06/2019,4.9766
18/06/2019,5.3593
19/06/2019,5.1654
20/06/2019,5.8207
21/06/2019,6.0114
24/06/2019,6.8104
25/06/2019,6.3909
26/06/2019,7.3403
27/06/2019,7.3449
28/06/2019,7.1135
01/07/2019,6.4098
02/07/2019,7.5216
03/07/2019,7.3154
04/07/2019,7.2247
05/07/2019,6.4412
08/07/2019,6.8948
09/07/2019,6.5699
10/07/2019,7.7175
11/07/2019,6.6872
12/07/2019,8.1943
15/07/2019,7.3171
16/07/2019,4.9017
17/07/2019,7.8032
18/07/2019,6.9671
19/07/2019,7.6977
22/07/2019,7.5522
23/07/2019,7.1475
24/07/2019,7.1914
25/07/2019,6.2785
26/07/2019,6.3743
29/07/2019,6.7295
30/07/2019,6.3047
31/07/2019,6.3072
01/08/2019,7.6273
02/08/2019,6.0156
05/08/2019,5.3841
06/08/2019,6.6248
07/08/2019,6.9769
08/08/2019,6.0085
09/08/2019,6.159
12/08/2019,6.3986
13/08/2019,6.8251
14/08/2019,5.9054
15/08/2019,6.9904
16/08/2019,7.1579
19/08/2019,6.3971
20/08/2019,6.9048
21/08/2019,6.6522
22/08/2019,6.5748
23/08/2019,5.8428
26/08/2019,7.0428
27/08/2019,4.9248
28/08/2019,5.6573
29/08/2019,5.1517
30/08/2019,6.1309
02/09/2019,7.5824
03/09/2019,5.686
04/09/2019,5.9265
05/09/2019,6.4266
06/09/2019,6.121
09/09/2019,6.0374
10/09/2019,5.6838
11/09/2019,7.1152
12/09/2019,6.771
13/09/2019,6.1027
16/09/2019,5.8927
17/09/2019,6.4653
18/09/2019,5.1828
19/09/2019,5.9621
20/09/2019,5.1085
23/09/2019,6.4157
24/09/2019,5.675
25/09/2019,5.9075
26/09/2019,5.7058
27/09/2019,5.6646
30/09/2019,5.7197
01/10/2019,5.6387
02/10/2019,6.5516
03/10/2019,5.7273
04/10/2019,7.3392
07/10/2019,5.2558
08/10/2019,6.715
09/10/2019,5.9794
10/10/2019,5.6296
11/10/2019,6.6492
14/10/2019,6.2513
15/10/2019,6.4425
16/10/2019,6.1929
17/10/2019,6.4347
18/10/2019,6.8956
21/10/2019,6.9977
22/10/2019,6.7513
23/10/2019,6.9437
24/10/2019,6.7391
25/10/2019,5.3479
28/10/2019,6.919
29/10/2019,6.6345
30/10/2019,6.819
31/10/2019,7.3539
01/11/2019,5.9499
04/11/2019,6.9252
05/11/2019,6.8175
06/11/2019,5.0144
07/11/2019,7.9753
08/11/2019,6.1386
11/11/2019,6.6571
12/11/2019,5.588
13/11/2019,6.5302
14/11/2019,6.0735
15/11/2019,5.7952
18/11/2019,5.007
19/11/2019,6.5659
20/11/2019,5.8659
21/11/2019,5.5524
22/11/2019,6.2731
25/11/2019,5.9334
26/11/2019,7.0433
27/11/2019,5.7907
28/11/2019,8.1948
29/11/2019,6.4648
02/12/2019,4.653
03/12/2019,4.8374
04/12/2019,5.0623
05/12/2019,5.5762
06/12/2019,7.0996
09/12/2019,6.2441
10/12/2019,5.9601
11/12/2019,5.57
12/12/2019,6.32
13/12/2019,5.6493
16/12/2019,4.7696
17/12/2019,5.2242
18/12/2019,6.0309
19/12/2019,5.1938
20/12/2019,5.2582
23/12/2019,4.7278
24/12/2019,5.5938
26/12/2019,7.8938
27/12/2019,5.9892
30/12/2019,6.1624
31/12/2019,5.2535
02/01/2020,7.0685
03/01/2020,5.922
06/01/2020,5.7138
07/01/2020,5.8375
08/01/2020,5.9721
09/01/2020,5.1314
10/01/2020,5.5149
13/01/2020,5.8919
14/01/2020,6.8476
15/01/2020,6.828
16/01/2020,5.1089
17/01/2020,5.263
20/01/2020,5.898
21/01/2020,5.5386
22/01/2020,5.5879
23/01/2020,7.0357
24/01/2020,5.6026
27/01/2020,5.3533
28/01/2020,5.0176
29/01/2020,6.3299
30/01/2020,7.2566
31/01/2020,7.8364
03/02/2020,9.4415
04/02/2020,8.9231
05/02/2020,7.2558
06/02/2020,8.2661
07/02/2020,7.982
10/02/2020,7.5005
11/02/2020,7.2625
12/02/2020,7.9007
13/02/2020,7.7214
14/02/2020,7.6322
17/02/2020,5.2735
18/02/2020,7.7925
19/02/2020,8.1286
20/02/2020,8.2336
21/02/2020,8.3054
24/02/2020,8.3026
25/02/2020,7.7841
26/02/2020,7.5645
27/02/2020,9.5139
28/02/2020,6.402
02/03/2020,8.7537
03/03/2020,8.0232
04/03/2020,8.4794
05/03/2020,7.783
06/03/2020,8.9721
09/03/2020,7.2879
10/03/2020,6.9818
11/03/2020,6.7101
12/03/2020,7.947
13/03/2020,6.2399
16/03/2020,7.3282
17/03/2020,6.3733
18/03/2020,8.6715
19/03/2020,8.5928
20/03/2020,6.6232
23/03/2020,7.4878
24/03/2020,7.2918
25/03/2020,8.0821
26/03/2020,8.1954
27/03/2020,7.7577
30/03/2020,7.6102
31/03/2020,6.0276
01/04/2020,8.1268
02/04/2020,7.627
03/04/2020,7.3851
06/04/2020,8.2166
07/04/2020,6.9406
08/04/2020,9.0916
09/04/2020,8.6705
13/04/2020,13.3205
14/04/2020,8.4615
15/04/2020,7.2475
16/04/2020,5.9547
17/04/2020,7.7843
20/04/2020,7.9816
21/04/2020,8.6942
22/04/2020,8.0903
23/04/2020,7.4749
24/04/2020,10.1774
27/04/2020,8.1193
28/04/2020,7.1399
29/04/2020,7.5163
30/04/2020,7.7048
01/05/2020,8.3155
04/05/2020,8.4258
05/05/2020,9.1383
06/05/2020,9.2739
07/05/2020,8.6266
08/05/2020,11.5266
11/05/2020,9.4977
12/05/2020,7.5704
13/05/2020,8.2946
14/05/2020,8.6925
15/05/2020,8.2223
18/05/2020,9.2535
19/05/2020,9.3026
20/05/2020,9.2336
21/05/2020,9.3923
22/05/2020,9.5189
26/05/2020,9.335
27/05/2020,10.8343
28/05/2020,10.4731
29/05/2020,9.5273
01/06/2020,8.4012
02/06/2020,8.1328
03/06/2020,7.9142
04/06/2020,7.8287
05/06/2020,7.2573
08/06/2020,8.3764
09/06/2020,8.1971
10/06/2020,7.3644
11/06/2020,7.228
12/06/2020,8.5209
15/06/2020,9.3635
16/06/2020,8.911
17/06/2020,9.3286
18/06/2020,7.541
19/06/2020,6.8725
22/06/2020,8.7664
23/06/2020,8.2051
24/06/2020,8.9695
25/06/2020,9.7994
26/06/2020,6.1464
29/06/2020,7.2423
30/06/2020,8.4656
01/07/2020,7.2791
02/07/2020,7.9848
03/07/2020,10.5249
06/07/2020,6.7174
07/07/2020,6.6185
08/07/2020,5.6727
09/07/2020,5.1883
10/07/2020,5.5581
